Opportunity_ID,Salesperson_Name,Region,Industry,Lead_Source,Deal_Stage,Plan_Type,Concurrent_Sessions,Managed_Devices,Deal_Size (£),ARR (£),Closed_Lost_Reason,Sales_Cycle_Days,Created_Date,Closed_Date
205,Salesperson_5,EU,Energy & Utilities,Outbound,Closed Lost,Plus,2,150,35736.74,247343.86,,110,2024-07-23,
206,Salesperson_6,EU,Manufacturing,Inbound,Proposal Sent,Essentials,3,150,73448.43,6580.45,,107,2024-07-24,
207,Salesperson_7,EU,Other,Partner,Closed Won,Premium,1,200,136729.89,123814.01,,49,2024-07-25,2024-01-13 00:00:00
208,Salesperson_8,EU,Education,Event,Closed Lost,Premium,3,150,19610.45,173504.8,,84,2024-07-26,
209,Salesperson_9,EU,Manufacturing,Event,Proposal Sent,Enterprise,5,50,31801.8,33103.67,,139,2024-07-27,2023-12-05 00:00:00
210,Salesperson_10,North America,Education,Event,Negotiation,Essentials,2,150,142507.59,5008.75,,26,2024-07-28,2023-12-06 00:00:00
211,Salesperson_1,EU,Healthcare,Event,Closed Won,Essentials,4,200,57719.28,152928.71,,67,2024-07-29,
212,Salesperson_2,EU,Manufacturing,Marketing,Negotiation,Premium,3,150,49131.72,34653.43,,57,2024-07-30,
213,Salesperson_3,EU,Energy & Utilities,Event,Qualified,Essentials,1,50,19048.65,28731.59,,170,2024-07-31,
214,Salesperson_4,EU,Education,Outbound,Proposal Sent,Enterprise,4,3,6980.93,55051.95,,59,2024-08-01,2024-03-30 00:00:00
215,Salesperson_5,North America,Healthcare,Partner,Closed Lost,Enterprise,3,50,85006.39,121066.89,,95,2024-08-02,
216,Salesperson_6,North America,Energy & Utilities,Partner,Qualified,Enterprise,1,200,129986.27,209017.98,,178,2024-08-03,2024-06-25 00:00:00
217,Salesperson_7,EU,Managed Service Providers,Event,Qualified,Plus,4,3,53025.7,113734.89,,122,2024-08-04,
218,Salesperson_8,EU,Manufacturing,Outbound,Closed Won,Plus,4,3,112487.35,18635.02,Lack of Features,16,2024-08-05,2024-01-02 00:00:00
219,Salesperson_9,EU,Other,Inbound,Closed Lost,Premium,4,3,57400.82,34843.8,,122,2024-08-06,
220,Salesperson_10,EU,Manufacturing,Marketing,Closed Lost,Premium,3,3,117927.2,104116.55,,27,2024-08-07,2023-12-26 00:00:00
221,Salesperson_1,North America,Education,Marketing,Closed Lost,Essentials,3,3,81685.0,245760.59,,72,2024-08-08,
222,Salesperson_2,EU,Education,Partner,Closed Lost,Essentials,5,150,58880.88,205966.38,,164,2024-08-09,2024-05-05 00:00:00
223,Salesperson_3,EU,Other,Inbound,Negotiation,Plus,3,3,99286.01,211221.6,,145,2024-08-10,2024-07-06 00:00:00
224,Salesperson_4,EU,Education,Partner,Negotiation,Enterprise,2,150,35454.83,138946.22,,83,2024-08-11,
225,Salesperson_5,EU,Energy & Utilities,Partner,Proposal Sent,Plus,3,200,60687.16,206313.18,Lack of Features,152,2024-08-12,2024-05-31 00:00:00
226,Salesperson_6,EU,Energy & Utilities,Partner,Qualified,Premium,5,50,133643.1,171923.51,No Decision,51,2024-08-13,2024-01-16 00:00:00
227,Salesperson_7,EU,Education,Marketing,Qualified,Plus,4,150,23920.38,215531.9,,46,2024-08-14,2024-09-19 00:00:00
228,Salesperson_8,North America,Other,Marketing,Closed Won,Essentials,2,3,112675.18,156203.84,,150,2024-08-15,
229,Salesperson_9,EU,Healthcare,Marketing,Negotiation,Premium,5,3,22451.38,110926.66,,91,2024-08-16,
230,Salesperson_10,North America,Manufacturing,Inbound,Proposal Sent,Plus,2,200,90051.41,160868.31,Lack of Features,24,2024-08-17,
231,Salesperson_1,EU,Managed Service Providers,Marketing,Qualified,Premium,1,50,137265.64,50277.92,,38,2024-08-18,2024-08-17 00:00:00
232,Salesperson_2,EU,Energy & Utilities,Partner,Closed Won,Premium,1,3,99881.5,205544.77,,26,2024-08-19,
233,Salesperson_3,EU,Managed Service Providers,Outbound,Qualified,Essentials,5,3,32612.87,166079.01,Lack of Features,114,2024-08-20,2024-03-13 00:00:00
234,Salesperson_4,EU,Education,Event,Closed Won,Essentials,2,3,107175.71,46840.0,Lack of Features,142,2024-08-21,2024-02-14 00:00:00
235,Salesperson_5,EU,Managed Service Providers,Event,Closed Lost,Plus,4,50,139197.59,186707.86,,146,2024-08-22,
236,Salesperson_6,EU,Managed Service Providers,Marketing,Proposal Sent,Plus,1,3,15857.54,138936.85,,14,2024-08-23,2024-02-05 00:00:00
237,Salesperson_7,North America,Energy & Utilities,Event,Negotiation,Premium,5,150,84253.96,121658.81,Budget Constraints,168,2024-08-24,2024-07-08 00:00:00
238,Salesperson_8,EU,Manufacturing,Inbound,Closed Won,Enterprise,2,200,54720.21,76058.87,,53,2024-08-25,2024-04-17 00:00:00
239,Salesperson_9,EU,Education,Inbound,Proposal Sent,Enterprise,1,3,110175.85,168546.2,,92,2024-08-26,
240,Salesperson_10,EU,Managed Service Providers,Outbound,Negotiation,Premium,2,3,148498.47,239977.4,No Decision,104,2024-08-27,2024-09-27 00:00:00
241,Salesperson_1,EU,Healthcare,Inbound,Negotiation,Plus,2,3,34289.87,125776.21,Budget Constraints,19,2024-08-28,2024-05-07 00:00:00
242,Salesperson_2,EU,Managed Service Providers,Inbound,Proposal Sent,Premium,2,3,109511.57,168586.42,,46,2024-08-29,2024-09-11 00:00:00
243,Salesperson_3,EU,Energy & Utilities,Event,Proposal Sent,Enterprise,4,200,11352.61,100841.36,Chose Competitor,36,2024-08-30,2024-05-20 00:00:00
244,Salesperson_4,North America,Managed Service Providers,Partner,Negotiation,Premium,2,150,32797.48,175924.91,,69,2024-08-31,
245,Salesperson_5,EU,Education,Event,Qualified,Plus,4,50,84821.87,31297.28,,11,2024-09-01,
246,Salesperson_6,EU,Managed Service Providers,Partner,Proposal Sent,Enterprise,3,150,41616.2,107139.63,No Decision,107,2024-09-02,2024-10-17 00:00:00
247,Salesperson_7,EU,Manufacturing,Partner,Proposal Sent,Plus,5,3,132175.92,109084.07,,10,2024-09-03,2024-02-15 00:00:00
248,Salesperson_8,EU,Managed Service Providers,Event,Closed Won,Premium,1,3,128748.55,11852.81,,154,2024-09-04,
249,Salesperson_9,EU,Energy & Utilities,Inbound,Negotiation,Enterprise,2,200,136488.15,116985.16,,24,2024-09-05,2024-10-03 00:00:00
250,Salesperson_10,EU,Healthcare,Partner,Closed Lost,Plus,2,200,146393.29,143231.23,Lack of Features,109,2024-09-06,
251,Salesperson_1,EU,Manufacturing,Event,Qualified,Premium,1,3,134762.39,7699.81,,155,2024-09-07,
252,Salesperson_2,EU,Healthcare,Outbound,Closed Won,Plus,2,150,70029.92,79176.58,Budget Constraints,40,2024-09-08,2023-12-19 00:00:00
253,Salesperson_3,EU,Manufacturing,Outbound,Closed Lost,Premium,3,50,109012.25,163051.7,,67,2024-09-09,
254,Salesperson_4,EU,Other,Partner,Negotiation,Essentials,5,200,137073.13,223839.14,,170,2024-09-10,2024-06-02 00:00:00
255,Salesperson_5,North America,Education,Outbound,Proposal Sent,Premium,3,3,14817.73,156869.73,Lack of Features,19,2024-09-11,
256,Salesperson_6,North America,Other,Marketing,Proposal Sent,Enterprise,5,200,65755.6,15444.79,,154,2024-09-12,
257,Salesperson_7,EU,Education,Partner,Negotiation,Enterprise,2,50,140043.19,227229.32,Lack of Features,149,2024-09-13,2024-07-21 00:00:00
258,Salesperson_8,EU,Healthcare,Outbound,Qualified,Plus,4,3,78061.07,240885.15,,28,2024-09-14,2024-01-10 00:00:00
259,Salesperson_9,EU,Managed Service Providers,Event,Closed Won,Enterprise,3,200,8171.86,119637.24,,15,2024-09-15,
260,Salesperson_10,North America,Healthcare,Marketing,Closed Lost,Plus,5,150,91877.28,182150.99,No Decision,176,2024-09-16,
261,Salesperson_1,North America,Energy & Utilities,Event,Closed Lost,Essentials,2,200,106022.4,72841.49,,131,2024-09-17,
262,Salesperson_2,North America,Managed Service Providers,Inbound,Qualified,Enterprise,2,200,23695.46,245529.65,,156,2024-09-18,2024-07-23 00:00:00
263,Salesperson_3,EU,Other,Event,Negotiation,Premium,3,200,11589.56,92648.18,,175,2024-09-19,2024-02-12 00:00:00
264,Salesperson_4,EU,Energy & Utilities,Event,Proposal Sent,Enterprise,5,200,87095.34,214680.7,,108,2024-09-20,
265,Salesperson_5,North America,Manufacturing,Marketing,Closed Lost,Premium,1,200,120186.61,128285.38,,82,2024-09-21,
266,Salesperson_6,EU,Energy & Utilities,Inbound,Qualified,Plus,4,3,105601.48,90464.35,,167,2024-09-22,2024-05-09 00:00:00
267,Salesperson_7,EU,Other,Inbound,Qualified,Premium,2,3,112403.7,178025.03,,109,2024-09-23,2024-01-11 00:00:00
268,Salesperson_8,North America,Managed Service Providers,Partner,Qualified,Enterprise,3,200,62636.61,100702.96,,125,2024-09-24,2024-08-31 00:00:00
269,Salesperson_9,EU,Other,Partner,Negotiation,Enterprise,4,200,104280.67,20377.61,,70,2024-09-25,2024-01-12 00:00:00
270,Salesperson_10,EU,Energy & Utilities,Event,Qualified,Premium,2,3,131187.08,165700.22,,135,2024-09-26,
271,Salesperson_1,North America,Other,Outbound,Negotiation,Plus,4,50,145873.07,91207.42,,166,2024-09-27,2024-03-18 00:00:00
272,Salesperson_2,EU,Education,Event,Negotiation,Essentials,2,50,29000.14,181206.23,,74,2024-09-28,2024-07-18 00:00:00
273,Salesperson_3,EU,Education,Event,Negotiation,Plus,3,150,113855.53,88126.31,,98,2024-09-29,
274,Salesperson_4,North America,Other,Inbound,Closed Lost,Plus,3,200,60701.81,180219.67,,172,2024-09-30,2024-03-31 00:00:00
275,Salesperson_5,EU,Education,Event,Negotiation,Essentials,5,3,118008.97,197740.73,Budget Constraints,126,2024-10-01,
276,Salesperson_6,EU,Managed Service Providers,Event,Negotiation,Plus,4,3,63123.1,73193.34,,132,2024-10-02,
277,Salesperson_7,EU,Managed Service Providers,Inbound,Closed Lost,Enterprise,5,150,44366.66,191838.86,,49,2024-10-03,
278,Salesperson_8,EU,Manufacturing,Marketing,Negotiation,Essentials,3,3,31689.62,79217.82,,126,2024-10-04,2024-11-20 00:00:00
279,Salesperson_9,EU,Education,Partner,Closed Won,Plus,2,150,28200.44,101512.54,No Decision,147,2024-10-05,2024-06-17 00:00:00
280,Salesperson_10,EU,Other,Event,Proposal Sent,Essentials,1,200,36582.12,229459.21,No Decision,102,2024-10-06,2024-01-19 00:00:00
281,Salesperson_1,EU,Education,Event,Proposal Sent,Enterprise,5,50,106024.65,163057.83,,67,2024-10-07,
282,Salesperson_2,EU,Healthcare,Inbound,Closed Won,Enterprise,3,3,132477.48,97248.07,No Decision,46,2024-10-08,2024-07-26 00:00:00
283,Salesperson_3,EU,Manufacturing,Inbound,Closed Won,Enterprise,2,200,119643.8,120579.32,,83,2024-10-09,2024-10-11 00:00:00
284,Salesperson_4,EU,Managed Service Providers,Event,Proposal Sent,Plus,4,200,71038.94,166448.09,,173,2024-10-10,2024-04-08 00:00:00
285,Salesperson_5,EU,Healthcare,Outbound,Negotiation,Essentials,1,200,107624.33,146129.54,,54,2024-10-11,2024-05-09 00:00:00
286,Salesperson_6,North America,Education,Marketing,Negotiation,Plus,5,200,81135.61,232216.0,Budget Constraints,109,2024-10-12,
287,Salesperson_7,North America,Energy & Utilities,Event,Proposal Sent,Premium,1,200,48994.47,194972.51,,75,2024-10-13,
288,Salesperson_8,EU,Managed Service Providers,Inbound,Negotiation,Essentials,2,3,36948.77,133731.31,,51,2024-10-14,2024-07-05 00:00:00
289,Salesperson_9,EU,Energy & Utilities,Marketing,Closed Won,Enterprise,1,3,107696.93,36708.38,,104,2024-10-15,2023-12-13 00:00:00
290,Salesperson_10,EU,Manufacturing,Outbound,Closed Lost,Premium,5,50,85061.88,84398.77,,15,2024-10-16,2024-02-27 00:00:00
291,Salesperson_1,EU,Other,Inbound,Closed Lost,Premium,3,150,29810.82,239022.68,,120,2024-10-17,2024-11-11 00:00:00
292,Salesperson_2,EU,Energy & Utilities,Event,Closed Won,Enterprise,2,3,11613.81,90283.33,,86,2024-10-18,2024-01-11 00:00:00
293,Salesperson_3,EU,Other,Partner,Qualified,Essentials,4,150,39541.43,156281.38,,46,2024-10-19,2024-04-09 00:00:00
294,Salesperson_4,EU,Healthcare,Inbound,Negotiation,Enterprise,4,200,10668.15,103924.59,,20,2024-10-20,
295,Salesperson_5,EU,Other,Partner,Negotiation,Enterprise,2,150,26480.22,16007.64,,127,2024-10-21,2024-10-13 00:00:00
296,Salesperson_6,EU,Other,Outbound,Qualified,Enterprise,5,150,133122.36,213747.64,Lack of Features,115,2024-10-22,
297,Salesperson_7,EU,Manufacturing,Partner,Closed Lost,Premium,3,50,139450.95,43999.02,,148,2024-10-23,
298,Salesperson_8,EU,Education,Partner,Closed Won,Essentials,3,50,44213.05,28652.41,,68,2024-10-24,2024-04-29 00:00:00
299,Salesperson_9,EU,Energy & Utilities,Outbound,Closed Lost,Premium,2,50,119640.09,31024.01,No Decision,112,2024-10-25,2024-06-14 00:00:00
300,Salesperson_10,North America,Managed Service Providers,Outbound,Closed Won,Plus,3,50,98149.9,233887.31,Chose Competitor,42,2024-10-26,2024-07-04 00:00:00
301,Salesperson_1,North America,Managed Service Providers,Inbound,Negotiation,Premium,4,150,41106.17,121721.19,,170,2024-10-27,2024-06-26 00:00:00
302,Salesperson_2,EU,Other,Partner,Proposal Sent,Premium,3,150,124394.49,191177.77,Budget Constraints,100,2024-10-28,
303,Salesperson_3,North America,Manufacturing,Event,Proposal Sent,Essentials,4,50,82516.26,245425.46,,63,2024-10-29,2024-03-26 00:00:00
304,Salesperson_4,EU,Education,Outbound,Negotiation,Enterprise,1,50,5202.99,203096.09,,113,2024-10-30,
305,Salesperson_5,EU,Managed Service Providers,Partner,Qualified,Premium,1,50,55381.98,184498.53,No Decision,117,2024-10-31,
306,Salesperson_6,EU,Manufacturing,Inbound,Proposal Sent,Premium,4,200,92748.13,62971.21,,116,2024-11-01,
307,Salesperson_7,EU,Manufacturing,Marketing,Qualified,Essentials,5,150,58520.97,225449.61,,127,2024-11-02,
308,Salesperson_8,North America,Managed Service Providers,Outbound,Proposal Sent,Plus,3,3,17070.69,47629.5,,125,2024-11-03,2024-11-10 00:00:00
309,Salesperson_9,EU,Energy & Utilities,Partner,Closed Lost,Essentials,2,3,107291.95,223655.85,,123,2024-11-04,2024-05-29 00:00:00
310,Salesperson_10,North America,Energy & Utilities,Outbound,Proposal Sent,Premium,5,3,84644.89,190174.4,Lack of Features,109,2024-11-05,2024-11-11 00:00:00
311,Salesperson_1,North America,Education,Inbound,Negotiation,Premium,4,200,109701.54,107913.76,,128,2024-11-06,2024-04-07 00:00:00
312,Salesperson_2,EU,Education,Marketing,Negotiation,Plus,3,50,64209.72,20770.63,,103,2024-11-07,
313,Salesperson_3,EU,Managed Service Providers,Marketing,Qualified,Premium,5,50,93664.89,154916.39,,96,2024-11-08,2024-07-14 00:00:00
314,Salesperson_4,EU,Other,Partner,Closed Lost,Plus,3,200,52072.1,33046.08,Lack of Features,93,2024-11-09,2024-07-07 00:00:00
315,Salesperson_5,EU,Energy & Utilities,Marketing,Proposal Sent,Enterprise,4,150,13303.2,212466.45,,180,2024-11-10,2024-07-11 00:00:00
316,Salesperson_6,North America,Managed Service Providers,Event,Closed Won,Plus,4,200,123308.71,22856.02,,112,2024-11-11,2024-08-27 00:00:00
317,Salesperson_7,EU,Education,Partner,Negotiation,Essentials,3,50,124470.11,192021.23,,44,2024-11-12,2024-01-27 00:00:00
318,Salesperson_8,EU,Education,Outbound,Closed Lost,Plus,3,150,36795.54,153600.66,,145,2024-11-13,
319,Salesperson_9,EU,Energy & Utilities,Partner,Closed Lost,Plus,4,3,144957.98,210966.44,No Decision,62,2024-11-14,
320,Salesperson_10,North America,Education,Event,Proposal Sent,Plus,3,3,30626.61,231269.96,,72,2024-11-15,
321,Salesperson_1,North America,Healthcare,Outbound,Negotiation,Essentials,2,50,145882.68,83684.01,,65,2024-11-16,
322,Salesperson_2,North America,Manufacturing,Inbound,Qualified,Essentials,1,50,82921.36,176187.8,,58,2024-11-17,
323,Salesperson_3,North America,Managed Service Providers,Outbound,Closed Won,Plus,1,150,146920.55,97519.09,,155,2024-11-18,2024-07-27 00:00:00
324,Salesperson_4,North America,Education,Partner,Proposal Sent,Essentials,4,50,117836.97,247273.36,,59,2024-11-19,2024-09-01 00:00:00
325,Salesperson_5,EU,Energy & Utilities,Marketing,Closed Won,Premium,2,150,118174.41,145576.02,No Decision,178,2024-11-20,2024-02-12 00:00:00
326,Salesperson_6,EU,Education,Inbound,Closed Lost,Premium,3,50,20434.2,53934.93,Budget Constraints,168,2024-11-21,2024-10-12 00:00:00
327,Salesperson_7,EU,Healthcare,Marketing,Negotiation,Essentials,2,50,113136.62,66861.26,,103,2024-11-22,
328,Salesperson_8,North America,Healthcare,Marketing,Proposal Sent,Plus,5,50,60387.24,112191.14,Chose Competitor,128,2024-11-23,2024-09-06 00:00:00
329,Salesperson_9,North America,Energy & Utilities,Marketing,Closed Lost,Plus,1,200,99804.58,75091.89,,150,2024-11-24,2024-04-12 00:00:00
330,Salesperson_10,North America,Other,Inbound,Negotiation,Essentials,2,50,131153.74,54292.22,,114,2024-11-25,2024-08-18 00:00:00
331,Salesperson_1,North America,Healthcare,Partner,Proposal Sent,Premium,3,50,96974.3,44711.95,,105,2024-11-26,2024-06-15 00:00:00
332,Salesperson_2,EU,Other,Outbound,Closed Lost,Plus,5,3,84877.28,204390.25,,174,2024-11-27,2024-10-18 00:00:00
333,Salesperson_3,EU,Education,Marketing,Negotiation,Essentials,4,3,123442.82,203124.69,,88,2024-11-28,2024-10-05 00:00:00
334,Salesperson_4,EU,Manufacturing,Outbound,Negotiation,Essentials,2,150,36992.66,52112.47,,64,2024-11-29,
335,Salesperson_5,North America,Other,Partner,Closed Won,Premium,4,50,43975.06,147616.45,Lack of Features,110,2024-11-30,
336,Salesperson_6,North America,Energy & Utilities,Inbound,Negotiation,Plus,3,3,89341.25,159133.34,,46,2024-12-01,
337,Salesperson_7,EU,Other,Outbound,Qualified,Plus,1,200,122121.28,168821.27,,130,2024-12-02,
338,Salesperson_8,North America,Energy & Utilities,Partner,Qualified,Essentials,1,150,114170.17,54867.2,,37,2024-12-03,
339,Salesperson_9,EU,Manufacturing,Outbound,Qualified,Plus,2,150,27568.01,203452.17,,148,2024-12-04,
340,Salesperson_10,EU,Managed Service Providers,Event,Closed Won,Premium,5,200,38599.86,223856.3,,176,2024-12-05,2024-03-26 00:00:00
341,Salesperson_1,EU,Other,Partner,Proposal Sent,Essentials,3,200,110311.49,93092.45,,125,2024-12-06,
342,Salesperson_2,EU,Healthcare,Partner,Qualified,Essentials,3,3,58452.8,104966.71,,86,2024-12-07,
343,Salesperson_3,EU,Energy & Utilities,Partner,Proposal Sent,Plus,3,3,135814.38,138912.31,No Decision,169,2024-12-08,2024-08-13 00:00:00
344,Salesperson_4,EU,Manufacturing,Event,Closed Won,Essentials,4,3,18585.2,22631.45,,115,2024-12-09,
345,Salesperson_5,EU,Education,Inbound,Qualified,Premium,1,3,31319.46,50399.57,,23,2024-12-10,2024-10-01 00:00:00
346,Salesperson_6,North America,Other,Marketing,Proposal Sent,Premium,1,3,31829.06,183844.39,,61,2024-12-11,2024-08-22 00:00:00
347,Salesperson_7,North America,Other,Event,Closed Lost,Enterprise,1,50,130041.06,228192.18,,65,2024-12-12,
348,Salesperson_8,EU,Managed Service Providers,Outbound,Closed Won,Premium,2,50,32384.69,162346.93,,96,2024-12-13,
349,Salesperson_9,EU,Other,Inbound,Negotiation,Premium,5,200,76125.17,126562.99,Lack of Features,151,2024-12-14,
350,Salesperson_10,EU,Education,Partner,Negotiation,Plus,4,150,110774.6,208938.71,Lack of Features,50,2024-12-15,2024-08-22 00:00:00
351,Salesperson_1,North America,Managed Service Providers,Outbound,Proposal Sent,Enterprise,1,50,98896.82,144740.67,,178,2024-12-16,2024-08-18 00:00:00
352,Salesperson_2,EU,Education,Outbound,Qualified,Premium,5,150,8051.86,121064.55,,108,2024-12-17,2024-11-17 00:00:00
353,Salesperson_3,North America,Manufacturing,Marketing,Closed Lost,Premium,5,200,28623.2,91265.98,,142,2024-12-18,2024-08-26 00:00:00
354,Salesperson_4,EU,Healthcare,Marketing,Qualified,Premium,3,200,30771.47,156527.32,,120,2024-12-19,
355,Salesperson_5,North America,Manufacturing,Marketing,Qualified,Enterprise,1,200,62158.61,141880.84,,56,2024-12-20,
356,Salesperson_6,EU,Managed Service Providers,Inbound,Negotiation,Enterprise,5,150,93134.2,38779.02,,123,2024-12-21,2024-03-08 00:00:00
357,Salesperson_7,North America,Manufacturing,Event,Qualified,Plus,1,200,15070.85,21452.9,,16,2024-12-22,
358,Salesperson_8,EU,Education,Marketing,Closed Won,Essentials,4,3,15447.06,109740.38,,62,2024-12-23,2024-08-28 00:00:00
359,Salesperson_9,EU,Energy & Utilities,Event,Qualified,Enterprise,5,50,40561.81,97148.97,,108,2024-12-24,2024-09-03 00:00:00
360,Salesperson_10,EU,Managed Service Providers,Inbound,Negotiation,Enterprise,5,200,136824.0,22362.57,,155,2024-12-25,
361,Salesperson_1,EU,Education,Partner,Qualified,Plus,3,200,145705.89,24145.23,,180,2024-12-26,2024-01-15 00:00:00
362,Salesperson_2,EU,Education,Outbound,Proposal Sent,Plus,2,50,19533.9,196684.9,,54,2024-12-27,
363,Salesperson_3,EU,Manufacturing,Partner,Qualified,Premium,4,50,81382.89,78065.61,,79,2024-12-28,
364,Salesperson_4,EU,Healthcare,Inbound,Closed Lost,Premium,1,150,110380.87,33892.24,,154,2024-12-29,2024-07-19 00:00:00
365,Salesperson_5,EU,Other,Marketing,Negotiation,Plus,5,150,122158.95,61490.51,,49,2024-12-30,2024-09-26 00:00:00
366,Salesperson_6,EU,Managed Service Providers,Event,Negotiation,Essentials,4,50,92477.56,152364.95,,174,2024-12-31,
367,Salesperson_7,EU,Education,Inbound,Qualified,Essentials,1,150,59791.89,86075.35,,112,2025-01-01,2024-01-16 00:00:00
368,Salesperson_8,EU,Managed Service Providers,Marketing,Closed Won,Enterprise,1,200,8003.81,59885.2,,157,2025-01-02,
369,Salesperson_9,EU,Other,Marketing,Closed Won,Premium,4,3,124851.53,235451.29,,60,2025-01-03,2024-05-12 00:00:00
370,Salesperson_10,North America,Manufacturing,Partner,Proposal Sent,Enterprise,5,50,115699.63,230956.97,,48,2025-01-04,2024-06-27 00:00:00
371,Salesperson_1,EU,Other,Event,Qualified,Plus,3,3,98449.91,66588.55,,115,2025-01-05,2024-03-16 00:00:00
372,Salesperson_2,EU,Education,Outbound,Negotiation,Premium,5,150,11342.31,177301.96,,91,2025-01-06,
373,Salesperson_3,EU,Energy & Utilities,Marketing,Closed Lost,Premium,5,50,41009.73,21648.44,,129,2025-01-07,2024-02-18 00:00:00
374,Salesperson_4,EU,Managed Service Providers,Inbound,Closed Lost,Enterprise,5,150,17121.35,218510.97,,72,2025-01-08,
375,Salesperson_5,EU,Energy & Utilities,Inbound,Qualified,Enterprise,2,200,25682.16,242188.13,,43,2025-01-09,
376,Salesperson_6,EU,Other,Inbound,Closed Lost,Plus,5,200,95970.73,23320.4,Lack of Features,134,2025-01-10,2023-12-26 00:00:00
377,Salesperson_7,EU,Managed Service Providers,Marketing,Closed Won,Essentials,2,150,6957.05,145962.19,,90,2025-01-11,
378,Salesperson_8,EU,Education,Inbound,Closed Won,Plus,1,50,145122.31,214032.83,No Decision,166,2025-01-12,2024-01-16 00:00:00
379,Salesperson_9,EU,Healthcare,Partner,Closed Lost,Plus,5,200,143854.57,233293.22,,166,2025-01-13,
380,Salesperson_10,North America,Other,Partner,Qualified,Plus,2,50,20419.15,127511.52,,145,2025-01-14,
381,Salesperson_1,EU,Energy & Utilities,Marketing,Closed Won,Essentials,3,3,111739.07,102808.82,,170,2025-01-15,2024-07-16 00:00:00
382,Salesperson_2,EU,Other,Outbound,Proposal Sent,Enterprise,2,200,54066.54,18878.81,Budget Constraints,19,2025-01-16,
383,Salesperson_3,EU,Manufacturing,Outbound,Closed Won,Premium,4,150,107581.08,175891.89,No Decision,34,2025-01-17,2024-03-09 00:00:00
384,Salesperson_4,EU,Manufacturing,Outbound,Proposal Sent,Essentials,2,3,34336.64,32164.25,,26,2025-01-18,
385,Salesperson_5,EU,Manufacturing,Marketing,Negotiation,Essentials,3,50,74661.69,120389.78,,31,2025-01-19,2024-11-03 00:00:00
386,Salesperson_6,EU,Healthcare,Event,Negotiation,Enterprise,1,150,86613.43,229760.88,,15,2025-01-20,2024-01-19 00:00:00
387,Salesperson_7,EU,Healthcare,Event,Proposal Sent,Enterprise,1,50,69427.3,69448.0,Chose Competitor,12,2025-01-21,
388,Salesperson_8,EU,Managed Service Providers,Outbound,Proposal Sent,Plus,5,150,28655.94,12344.62,,23,2025-01-22,
389,Salesperson_9,North America,Energy & Utilities,Outbound,Qualified,Premium,3,3,53104.67,87821.08,,94,2025-01-23,2024-04-24 00:00:00
390,Salesperson_10,EU,Other,Inbound,Proposal Sent,Enterprise,2,200,27404.43,68915.87,,33,2025-01-24,2024-06-21 00:00:00
391,Salesperson_1,North America,Other,Outbound,Closed Lost,Premium,3,3,13101.95,86962.61,,90,2025-01-25,2024-06-13 00:00:00
392,Salesperson_2,EU,Other,Event,Negotiation,Plus,3,200,105345.97,192360.3,,101,2025-01-26,2024-11-13 00:00:00
393,Salesperson_3,EU,Healthcare,Partner,Negotiation,Plus,2,200,95985.45,39125.71,,61,2025-01-27,2023-12-31 00:00:00
394,Salesperson_4,EU,Education,Inbound,Qualified,Premium,5,50,22845.95,139036.4,Budget Constraints,48,2025-01-28,
395,Salesperson_5,EU,Education,Inbound,Qualified,Premium,2,50,124614.11,184798.8,Budget Constraints,64,2025-01-29,2024-01-24 00:00:00
396,Salesperson_6,EU,Manufacturing,Partner,Negotiation,Enterprise,3,150,19908.22,231422.69,,88,2025-01-30,
397,Salesperson_7,EU,Healthcare,Partner,Closed Won,Plus,4,50,48027.08,167517.35,,26,2025-01-31,
398,Salesperson_8,EU,Education,Partner,Qualified,Plus,5,200,79173.65,220176.19,,102,2025-02-01,
399,Salesperson_9,EU,Education,Marketing,Closed Won,Enterprise,5,150,126290.09,62726.21,,169,2025-02-02,2024-07-19 00:00:00
400,Salesperson_10,EU,Healthcare,Outbound,Negotiation,Premium,5,50,25566.08,22863.42,,90,2025-02-03,2024-07-28 00:00:00
401,Salesperson_1,EU,Other,Outbound,Qualified,Enterprise,2,3,137264.21,237259.41,,159,2025-02-04,
402,Salesperson_2,EU,Manufacturing,Outbound,Negotiation,Plus,4,200,8480.13,226559.35,,124,2025-02-05,2024-05-01 00:00:00
403,Salesperson_3,EU,Managed Service Providers,Inbound,Qualified,Enterprise,5,200,66934.64,177257.25,,131,2025-02-06,2024-03-28 00:00:00
404,Salesperson_4,North America,Managed Service Providers,Inbound,Closed Won,Premium,1,3,26369.59,192565.68,,96,2025-02-07,2024-08-09 00:00:00
405,Salesperson_5,EU,Education,Event,Closed Lost,Essentials,5,200,100027.87,13663.71,,54,2025-02-08,2024-04-23 00:00:00
406,Salesperson_6,EU,Other,Marketing,Closed Lost,Premium,4,50,37753.24,245358.73,,84,2025-02-09,
407,Salesperson_7,EU,Education,Event,Closed Won,Essentials,5,150,132453.57,237727.41,,87,2025-02-10,2024-09-08 00:00:00
408,Salesperson_8,EU,Other,Inbound,Closed Won,Enterprise,4,150,60787.85,151546.17,,35,2025-02-11,
409,Salesperson_9,EU,Manufacturing,Marketing,Negotiation,Premium,5,150,133212.47,155046.0,,153,2025-02-12,
410,Salesperson_10,EU,Manufacturing,Outbound,Proposal Sent,Plus,4,200,124303.81,24745.4,,50,2025-02-13,2024-10-25 00:00:00
